media_name,o2,glucose,acetate,po_ratio,growth_rate,oxygen_flux,uptake,co2,organic_c,biomass,co2_norm,organic_c_norm,biomass_norm,cue,gge,bge
Glucose Only,1000,10.0,0,"(2, 1)",0.7570863198831086,-24.900796320158644,60.0,27.53895628332136,0.02923638159011766,32.43180733508852,0.4589826047220227,0.000487273026501961,0.5405301222514753,0.5410173952779773,0.5405301222514753,0.5407936364033986
Glucose Only,1000,10.0,0,"(3, 1)",0.7570863198831086,-24.900796320158644,60.0,27.53895628332136,0.02923638159011766,32.43180733508852,0.4589826047220227,0.000487273026501961,0.5405301222514753,0.5410173952779773,0.5405301222514753,0.5407936364033986
Glucose Only,1000,10.0,0,"(4, 1)",0.7570863198831086,-24.900796320158644,60.0,27.53895628332136,0.02923638159011766,32.43180733508852,0.4589826047220227,0.000487273026501961,0.5405301222514753,0.5410173952779773,0.5405301222514753,0.5407936364033986
Glucose Only,1000,10.0,0,"(5, 1)",0.7570863198831086,-24.900796320158644,60.0,27.53895628332136,0.02923638159011766,32.43180733508852,0.4589826047220227,0.000487273026501961,0.5405301222514753,0.5410173952779773,0.5405301222514753,0.5407936364033986
Acetate Only,0,0.0,30,"(1, 1)",0.0,,,,,,,,,,,
Acetate Only,0,0.0,30,"(2, 1)",0.0,,,,,,,,,,,
Acetate Only,0,0.0,30,"(3, 1)",0.0,,,,,,,,,,,
Acetate Only,0,0.0,30,"(4, 1)",0.0,,,,,,,,,,,
Acetate Only,0,0.0,30,"(5, 1)",0.0,,,,,,,,,,,
Acetate Only,5,0.0,30,"(1, 1)",0.034022063260691675,-5.0,8.577229267878382,3.1186182721382427,4.001185373542523,1.4574256221976167,0.36359273778741463,0.46648926460750123,0.16991799760508416,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,5,0.0,30,"(2, 1)",0.034022063260691675,-5.0,8.577229267878382,3.1186182721382427,4.001185373542523,1.4574256221976167,0.36359273778741463,0.46648926460750123,0.16991799760508416,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,5,0.0,30,"(3, 1)",0.034022063260691675,-5.0,8.577229267878382,3.1186182721382427,4.001185373542523,1.4574256221976167,0.36359273778741463,0.46648926460750123,0.16991799760508416,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,5,0.0,30,"(4, 1)",0.034022063260691675,-5.0,8.577229267878382,3.1186182721382427,4.001185373542523,1.4574256221976167,0.36359273778741463,0.46648926460750123,0.16991799760508416,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,5,0.0,30,"(5, 1)",0.034022063260691675,-5.0,8.577229267878382,3.1186182721382427,4.001185373542523,1.4574256221976167,0.36359273778741463,0.46648926460750123,0.16991799760508416,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,10,0.0,30,"(1, 1)",0.06804412652138335,-10.0,17.154458535756763,6.237236544276485,8.002370747085045,2.9148512443952335,0.36359273778741463,0.46648926460750123,0.16991799760508416,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,10,0.0,30,"(2, 1)",0.06804412652138335,-10.0,17.154458535756763,6.237236544276485,8.002370747085045,2.9148512443952335,0.36359273778741463,0.46648926460750123,0.16991799760508416,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,10,0.0,30,"(3, 1)",0.06804412652138335,-10.0,17.154458535756763,6.237236544276485,8.002370747085045,2.9148512443952335,0.36359273778741463,0.46648926460750123,0.16991799760508416,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,10,0.0,30,"(4, 1)",0.06804412652138335,-10.0,17.154458535756763,6.237236544276485,8.002370747085045,2.9148512443952335,0.36359273778741463,0.46648926460750123,0.16991799760508416,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,10,0.0,30,"(5, 1)",0.06804412652138335,-10.0,17.154458535756763,6.237236544276485,8.002370747085045,2.9148512443952335,0.36359273778741463,0.46648926460750123,0.16991799760508416,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,20,0.0,30,"(1, 1)",0.1360882530427667,-20.0,34.30891707151353,12.47447308855297,16.00474149417009,5.829702488790467,0.36359273778741463,0.46648926460750123,0.16991799760508416,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,20,0.0,30,"(2, 1)",0.1360882530427667,-20.0,34.30891707151353,12.47447308855297,16.00474149417009,5.829702488790467,0.36359273778741463,0.46648926460750123,0.16991799760508416,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,20,0.0,30,"(3, 1)",0.1360882530427667,-20.0,34.30891707151353,12.47447308855297,16.00474149417009,5.829702488790467,0.36359273778741463,0.46648926460750123,0.16991799760508416,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,20,0.0,30,"(4, 1)",0.1360882530427667,-20.0,34.30891707151353,12.47447308855297,16.00474149417009,5.829702488790467,0.36359273778741463,0.46648926460750123,0.16991799760508416,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,20,0.0,30,"(5, 1)",0.1360882530427667,-20.0,34.30891707151353,12.47447308855297,16.00474149417009,5.829702488790467,0.36359273778741463,0.46648926460750123,0.16991799760508416,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,30,0.0,30,"(1, 1)",0.20413237956415,-30.0,51.46337560727028,18.711709632829454,24.007112241255125,8.7445537331857,0.36359273778741463,0.4664892646075011,0.16991799760508422,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,30,0.0,30,"(2, 1)",0.20413237956415,-30.0,51.46337560727028,18.711709632829454,24.007112241255125,8.7445537331857,0.36359273778741463,0.4664892646075011,0.16991799760508422,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,30,0.0,30,"(3, 1)",0.20413237956415,-30.0,51.46337560727028,18.711709632829454,24.007112241255125,8.7445537331857,0.36359273778741463,0.4664892646075011,0.16991799760508422,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,30,0.0,30,"(4, 1)",0.20413237956415,-30.0,51.46337560727028,18.711709632829454,24.007112241255125,8.7445537331857,0.36359273778741463,0.4664892646075011,0.16991799760508422,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,30,0.0,30,"(5, 1)",0.20413237956415,-30.0,51.46337560727028,18.711709632829454,24.007112241255125,8.7445537331857,0.36359273778741463,0.4664892646075011,0.16991799760508422,0.6364072622125854,0.1699179976050842,0.31849030644168225
Acetate Only,1000,0.0,30,"(1, 1)",0.2473107095749277,-38.10736531551948,60.0,23.84411909272077,25.5616684982154,10.594212409063825,0.3974019848786795,0.42602780830359,0.17657020681773042,0.6025980151213205,0.1765702068177305,0.3076285042588324
Acetate Only,1000,0.0,30,"(2, 1)",0.2473107095749277,-38.10736531551948,60.0,23.84411909272077,25.5616684982154,10.594212409063825,0.3974019848786795,0.42602780830359,0.17657020681773042,0.6025980151213205,0.1765702068177305,0.3076285042588324
